,Site,Year,Month,Lon,Lat,PCB28,PCB52,PCB101,PCB118,PCB138,PCB153,PCB180,X4PCBs,X7PCBs,HCB,a.HCH,b.HCH,g.HCH,t.HCH,HCHs,op.DDE,pp.DDE,op.DDD,pp.DDD,op.DDT,pp.DDT,DDTs,CHLs,endosulfan,Note,Reference,X37PCBs,Heptachlor,HEPX,TC,CC,TN,CN,Dieldrin,Endosulfan.I,Endosulfan.II,PCBs,Endosulfan.Sulfate,eNDosulfan,Oxychlordane,HCHs.a.HCH.g.HCH.,CHLs..TC.CC.TN.,Endosulfan,Heptachlor.Epoxide.B,Heptachlor.Epoxide.A,PCBs.Aroclor.1260.,PCB81,PCB77,PCB123,PCB114,PCB105,PCB126,PCB167,PCB156,PCB157,PCB169,PCB189,PCB18,PCB44,PCB66,PCB128,PCB187,PCB11,PCB209,X20PCBs,PCB16.32,PCB52.43,PCB41.71,PCB66.95,PCB87.81.,PCB110.77.,PCB149.123.107,PCB153.132,PCB163.138,PCB187.182,PCB174,Pentachloroanisol,Aldrin,Endrin,PCB8,PCB17,PCB33,PCB49,PCB42,PCB37,PCB74,PCB70.76,PCB56.60,PCB99,PCB87,PCB110,PCB151,PCB123.149,PCB183,PCB70,PCB95,PCB177,PCB201,PCB205,PCB5.8,PCB87.115,PCB149,PCB128.167,PCB170.190,Mirex
25,NA,NA,7,-174.5,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,7,-175.0666667,57.93333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,8,-176.8333333,60.91666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,8,-177.4166667,61.41666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,8,-176.75,62.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,8,-174,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,8,-172,67.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,8,-168.7416667,68.29166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,8,-167.075,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,8,-169.3583333,67.49166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
