"","Month","a.HCH","g.HCH","factor","dist","Year","loc_name","TC","CC","All_PCBs","HEPX","TN","Dieldrin","Endosulfan.I","b.HCH","pp.DDE","pp.DDT","Endosulfan.II","PCBs","PCB28","PCB52","PCB101","PCB118","PCB138","PCB153","PCB180","HCB","X7PCBs","HCHs","op.DDT","PCB18","Chlorpyrifos","PCB105","PCB31","¦²9PCBs","CN","Endosulfan.Sulfate","PCB5.8","PCB74","PCB87.115","PCB110","PCB149","PCB128.167","PCB170.190","X4PCBs","PCB8","PCB44","PCB66","pp.DDD","DDTs","PCB81","PCB77","PCB123","PCB114","PCB126","PCB167","PCB156","PCB157","PCB169","PCB189","Endosulfan.sulfate","t.HCH","op.DDE"
"28","10:71%(5)
11:29%(2)","","","23:100%(7)","   0.000000:14%(1)
 266.564696:14%(1)
 272.179747:14%(1)
 295.710067:14%(1)
 440.384793:14%(1)
 446.284795:14%(1)
 561.912549:14%(1)",2005,"North Atlantic Ocean","","",NA,"","",NA,"",NA,"","","",NA,"B:86%(6)
D:14%(1)","B:71%(5)
D:29%(2)","B:86%(6)
D:14%(1)","B:57%(4)
D:43%(3)","B:29%(2)
D:71%(5)","B:57%(4)
D:43%(3)","",NA,NA,NA,"","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","11:100%(7)","","","23:100%(7)"," 598.112934:14%(1)
 700.915513:14%(1)
 743.359007:14%(1)
 784.438126:14%(1)
 882.345089:14%(1)
1278.728810:14%(1)
1517.716728:14%(1)",2005,"South Atlantic Ocean","","",NA,"","",NA,"",NA,"","","",NA,"B:71%(5)
D:29%(2)","B:57%(4)
D:43%(3)","B:71%(5)
D:29%(2)","B:43%(3)
D:57%(4)","B:29%(2)
D:71%(5)","B:43%(3)
D:57%(4)","",NA,NA,NA,"","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","9:100%(9)","B:67%(6)
V:33%(3)","D:100%(9)","43:100%(9)","  69.419204:11%(1)
  89.567015:11%(1)
  92.762207:11%(1)
 148.363253:11%(1)
 164.289703:11%(1)
 179.272453:11%(1)
 262.109840:11%(1)
 271.742641:11%(1)
 351.388215:11%(1)",2005,"South China Sea","B:22%(2)
D:78%(7)","B:78%(7)
V:22%(2)",NA,"","",NA,"",NA,"V:100%(9)","B:78%(7)
V:22%(2)","",NA,"","","","","","","",NA,NA,NA,"B:78%(7)
V:22%(2)","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2 TO 3:50%(1)
7:50%(1)","D:100%(2)","D:100%(2)","46:100%(2)","   0.000000:100%(2)",2005,"Black Sea","D:50%(1)
V:50%(1)","D:50%(1)
V:50%(1)",NA,"D:50%(1)
V:50%(1)","B:50%(1)
V:50%(1)",NA,"D:100%(2)",NA,"","D:50%(1)
V:50%(1)","D:100%(2)",NA,"D:50%(1)
V:50%(1)","D:50%(1)
V:50%(1)","D:50%(1)
V:50%(1)","D:50%(1)
V:50%(1)","V:100%(2)","B:50%(1)
V:50%(1)","V:100%(2)",NA,NA,NA,"","","D:50%(1)
V:50%(1)","D:100%(2)","D:50%(1)
V:50%(1)","D:50%(1)
V:50%(1)","B:50%(1)
V:50%(1)","D:100%(2)","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","July to august:100%(1)","","","47:100%(1)","   2.604202:100%(1)",2005,"Adriatic Sea","","",NA,"","",NA,"",NA,"","","",NA,"V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,"","V:100%(1)","","","","","","","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","6:57%(4)
7:43%(3)","","","26:100%(7)"," 109.81146:14%(1)
 129.57427:14%(1)
 152.66128:14%(1)
 153.99746:14%(1)
 173.48523:14%(1)
 176.96057:14%(1)
 214.57348:14%(1)",2006,"Mediterranean Sea","","",NA,"",NA,NA,NA,"","","",NA,NA,"B:60%(3)
D:20%(1)
V:20%(1)","B:100%(4)","B:17%(1)
V:83%(5)","B:86%(6)
V:14%(1)","B:20%(1)
V:80%(4)","B:71%(5)
V:29%(2)","B:71%(5)
V:29%(2)","B:83%(5)
D:17%(1)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","6:100%(1)","","","26:100%(1)"," 241.67283:100%(1)",2006,"Ionian Sea","","",NA,"",NA,NA,NA,"","","",NA,NA,"B:100%(1)","B:100%(1)","","B:100%(1)","V:100%(1)","B:100%(1)","B:100%(1)","D:100%(1)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","6:100%(5)","","","26:100%(5)","  57.53063:20%(1)
  78.60796:20%(1)
  82.09248:20%(1)
  85.43942:40%(2)",2006,"Aegean Sea","","",NA,"",NA,NA,NA,"","","",NA,NA,"B:25%(1)
D:75%(3)","B:100%(4)","B:75%(3)
V:25%(1)","B:100%(5)","B:20%(1)
V:80%(4)","B:80%(4)
V:20%(1)","B:67%(2)
V:33%(1)","B:60%(3)
D:20%(1)
V:20%(1)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","6:100%(4)","","","26:100%(4)","  32.05911:25%(1)
  79.20124:25%(1)
  81.38062:25%(1)
  81.40201:25%(1)",2006,"Black Sea","","",NA,"",NA,NA,NA,"","","",NA,NA,"B:50%(2)
D:50%(2)","B:100%(1)","B:33%(1)
V:67%(2)","B:100%(4)","V:100%(3)","B:100%(4)","B:100%(4)","B:25%(1)
D:50%(2)
V:25%(1)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","  12.0:9%(1)
12:91%(10)","B:50%(2)
D:50%(2)","V:100%(4)","29:36%(4)
34:64%(7)","2110.22715:9%(1)
2822.05312:9%(1)
2899.00754:9%(1)
3367.84681:9%(1)
3436.86402:9%(1)
3886.13891:9%(1)
4002.33742:9%(1)
4728.39889:9%(1)
4929.86792:9%(1)
4998.54380:9%(1)
5058.78629:9%(1)",2006,"North Pacific Ocean","","",NA,"B:100%(4)",NA,NA,NA,"","","",NA,NA,"B:100%(2)","B:100%(1)","V:100%(3)","V:100%(2)","B:100%(1)","V:100%(2)","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","  12.0:10%(2)
12:90%(18)","V:100%(1)","V:100%(2)","29:70%(14)
34:30%(6)","2143.03636:5%(1)
2219.24836:5%(1)
2319.22415:5%(1)
2354.60870:5%(1)
2539.29185:5%(1)
2597.35993:5%(1)
2859.73176:5%(1)
3145.98175:5%(1)
3300.96968:5%(1)
3467.38462:5%(1)
3533.64647:5%(1)
3979.37704:5%(1)
3980.18054:5%(1)
4023.63423:5%(1)
4211.50999:5%(1)
4469.12812:5%(1)
4493.93209:5%(1)
4548.70638:5%(1)
4713.59605:5%(1)
4810.26039:5%(1)",2006,"South Pacific Ocean","","",NA,"B:67%(2)
D:33%(1)",NA,NA,NA,"B:100%(3)","","",NA,NA,"B:60%(6)
V:40%(4)","B:38%(3)
V:62%(5)","V:100%(3)","V:100%(1)","V:100%(1)","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","","","","37:100%(3)"," 251.11294:33%(1)
 268.85840:33%(1)
 344.83207:33%(1)",2006,"North Atlantic Ocean","","",NA,"",NA,NA,NA,"","B:100%(2)","",NA,NA,"","","","","","","","B:100%(2)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","","","","37:100%(2)"," 821.59741:50%(1)
 837.43350:50%(1)",2006,"South Atlantic Ocean","","",NA,"",NA,NA,NA,"","B:100%(2)","",NA,NA,"","","","","","","","B:100%(2)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","9:100%(3)","V:100%(3)","B:67%(2)
D:33%(1)","50:100%(3)","  37.02907:33%(1)
 211.45519:33%(1)
 254.77761:33%(1)",2006,"Yellow Sea","V:100%(3)","V:100%(3)",NA,"",NA,NA,NA,"","V:100%(3)","V:100%(3)",NA,NA,"","","","","","","","",NA,NA,"B:33%(1)
D:67%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","10:25%(1)
9:75%(3)","V:100%(4)","B:75%(3)
D:25%(1)","50:100%(4)","  66.53763:25%(1)
  67.39936:25%(1)
 164.30188:25%(1)
 184.39741:25%(1)",2006,"East China Sea","V:100%(4)","V:100%(4)",NA,"",NA,NA,NA,"","V:100%(4)","V:100%(4)",NA,NA,"","","","","","","","",NA,NA,"B:50%(2)
D:25%(1)
V:25%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","10:75%(3)
9:25%(1)","V:100%(4)","B:50%(2)
V:50%(2)","50:100%(4)","  55.03985:25%(1)
  73.70040:25%(1)
 194.24501:25%(1)
 228.28821:25%(1)",2006,"South China Sea","V:100%(4)","V:100%(4)",NA,"",NA,NA,NA,"","V:100%(4)","V:100%(4)",NA,NA,"","","","","","","","",NA,NA,"B:50%(2)
V:50%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","6:11%(2)
7:89%(16)","D:100%(9)","D:100%(9)"," 2:50%(9)
31:50%(9)","  28.167829:11%(2)
  30.162884:6%(1)
  30.704668:6%(1)
  53.525716:11%(2)
  78.895477:6%(1)
  79.432002:6%(1)
  91.240712:6%(1)
  91.612517:6%(1)
 120.434182:11%(2)
 204.353482:6%(1)
 204.817180:6%(1)
 253.887651:6%(1)
 254.201564:6%(1)
 353.267893:6%(1)
 353.389498:6%(1)",2007,"Greenland Sea","","",NA,"","","","","",NA,NA,NA,NA,"B:62%(5)
D:25%(2)
V:12%(1)","B:20%(1)
D:80%(4)","V:100%(4)","","B:25%(2)
D:50%(4)
V:25%(2)","D:62%(5)
V:38%(3)","D:100%(7)","B:100%(9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","","",""," 9:100%(1)","  32.612244:100%(1)",2007,"Labrador Sea","D:100%(1)","D:100%(1)",NA,"B:100%(1)","D:100%(1)","B:100%(1)","B:100%(1)","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","","",""," 9:100%(1)","   0.000000:100%(1)",2007,"Ungava Bay","D:100%(1)","V:100%(1)",NA,"D:100%(1)","V:100%(1)","D:100%(1)","B:100%(1)","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","12:100%(5)","B:33%(1)
D:67%(2)","D:100%(5)","22:100%(5)","  51.707873:20%(1)
  86.222982:20%(1)
 126.810474:20%(1)
 133.358378:20%(1)
 159.356859:20%(1)",2007,"ROSS SEA","","",NA,"","","","B:100%(1)","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","12:100%(4)","B:100%(3)","D:100%(3)","22:100%(4)"," 278.900311:25%(1)
 336.121666:25%(1)
 522.696348:25%(1)
 559.310247:25%(1)",2007,"SOUTHERN OCEAN","","",NA,"","","","","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","11:89%(8)
12:11%(1)","D:100%(4)","D:100%(5)","22:100%(9)","  83.237990:11%(1)
  83.778807:11%(1)
 117.744868:11%(1)
 119.485482:11%(1)
 145.907133:11%(1)
 149.769865:11%(1)
 181.576664:11%(1)
 335.361986:11%(1)
 416.924568:11%(1)",2007,"South Atlantic Ocean","","",NA,"","","","B:12%(1)
D:88%(7)","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","10:75%(3)
11:25%(1)","D:100%(4)","D:100%(4)","22:100%(4)"," 115.240835:25%(1)
 456.796593:25%(1)
 585.643288:25%(1)
1313.394902:25%(1)",2007,"North Atlantic Ocean","","",NA,"","","","D:100%(3)","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","10:100%(1)","D:100%(1)","D:100%(1)","22:100%(1)","   0.000000:100%(1)",2007,"English Channel","","",NA,"","","","D:100%(1)","",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5:100%(1)","","","26:100%(1)"," 155.981597:100%(1)",2007,"Balearic Sea","","",NA,"","","","","",NA,NA,NA,NA,"","","","","B:100%(1)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","5:83%(5)
6:17%(1)","","","26:100%(6)","   1.699426:17%(1)
  25.301295:17%(1)
  74.955500:17%(1)
 103.354500:17%(1)
 164.622189:17%(1)
 225.956955:17%(1)",2007,"Mediterranean Sea","","",NA,"","","","","",NA,NA,NA,NA,"","B:100%(1)","B:33%(2)
V:67%(4)","B:50%(2)
V:50%(2)","B:40%(2)
V:60%(3)","B:33%(2)
D:17%(1)
V:50%(3)","B:50%(2)
V:50%(2)","B:50%(1)
D:50%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:50%(3)
D:17%(1)
V:33%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","   1.0:33%(3)
1:67%(6)","B:50%(1)
D:50%(1)","","29:56%(5)
34:44%(4)","4233.015420:11%(1)
4240.468273:11%(1)
4292.866624:11%(1)
4301.100220:11%(1)
4358.531193:11%(1)
4367.145434:11%(1)
4391.677459:11%(1)
4437.908893:11%(1)
4445.523372:11%(1)",2007,"South Pacific Ocean","","",NA,"","","","","B:100%(2)",NA,NA,NA,NA,"V:100%(1)","B:100%(2)","","","D:100%(1)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","   5.0:16%(4)
5:84%(21)","","","14:100%(25)","153.33938:4%(1)
215.84906:4%(1)
304.59939:4%(1)
306.67375:4%(1)
310.09818:8%(2)
312.93595:4%(1)
326.62952:4%(1)
331.33779:4%(1)
337.41962:4%(1)
341.29832:4%(1)
346.14764:4%(1)
346.89822:4%(1)
352.52821:4%(1)
354.98451:4%(1)
367.67278:8%(2)
386.57967:4%(1)
401.04772:4%(1)
407.14621:4%(1)
407.41123:4%(1)
413.41082:4%(1)
419.37171:4%(1)
440.85954:4%(1)
594.31440:4%(1)",2008,"North Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:77%(10)
D:23%(3)","B:75%(3)
D:25%(1)","B:100%(2)","D:100%(2)","D:100%(1)","B:75%(3)
D:25%(1)",NA,"",NA,NA,NA,"B:72%(13)
D:28%(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:53%(10)
D:42%(8)
V:5%(1)","B:25%(1)
D:75%(3)","B:100%(4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1:31%(4)
2:69%(9)","D:100%(13)","D:100%(13)","42:100%(13)"," 19.60630:8%(1)
 23.57283:8%(1)
 79.48213:8%(1)
 91.83889:8%(1)
106.65263:8%(1)
111.65744:8%(1)
133.69674:8%(1)
135.48017:8%(1)
248.11093:8%(1)
279.48893:8%(1)
299.28284:8%(1)
354.89423:8%(1)
369.34398:8%(1)",2008,"SOUTHERN OCEAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,"B:15%(2)
D:85%(11)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2:100%(3)","D:100%(3)","D:100%(3)","42:100%(3)","341.94274:33%(1)
480.52291:33%(1)
627.71977:33%(1)",2008,"South Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,"B:100%(3)",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","7:100%(21)","","","28:100%(21)"," 440.0806:5%(1)
 478.2749:5%(1)
 511.0763:5%(1)
 541.2679:5%(1)
 591.1966:5%(1)
 697.0956:5%(1)
 771.5483:5%(1)
 873.6286:5%(1)
1012.2834:5%(1)
1079.9009:5%(1)
1241.9785:5%(1)
1280.1730:5%(1)
1488.9678:5%(1)
1501.2205:5%(1)
1730.3677:5%(1)
1936.7167:5%(1)
1936.7469:5%(1)
1969.4946:5%(1)
1975.8695:5%(1)
2018.6340:5%(1)
2100.7357:5%(1)",2009,"South Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(19)","V:100%(19)",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","7:100%(21)","V:100%(2)","D:67%(2)
V:33%(1)","28:100%(21)"," 101.4278:10%(2)
 191.8185:5%(1)
 318.8452:5%(1)
 406.9324:5%(1)
 407.2185:5%(1)
 428.3187:5%(1)
 432.2914:5%(1)
 436.9360:5%(1)
 469.1575:5%(1)
 498.7568:5%(1)
 501.6674:5%(1)
 509.3336:5%(1)
 527.7672:5%(1)
 543.1981:5%(1)
 550.1646:5%(1)
 624.3821:5%(1)
 641.9457:5%(1)
 663.6777:5%(1)
 674.0600:5%(1)
 678.4690:5%(1)",2009,"North Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(20)","V:100%(20)",NA,"B:100%(1)",NA,NA,"V:100%(14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","7:100%(4)","","","28:100%(4)"," 421.3452:25%(1)
 514.0231:25%(1)
 631.1363:25%(1)
 754.1558:25%(1)",2009,"Caribbean Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(4)","V:100%(4)",NA,"",NA,NA,"V:100%(4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","7:100%(12)","","","28:100%(12)"," 610.9539:8%(1)
 620.8188:8%(1)
 638.8985:8%(1)
 697.9776:8%(1)
 711.3756:8%(1)
 769.4401:8%(1)
 827.7241:8%(1)
 829.7276:8%(1)
 869.9735:8%(1)
 938.8651:8%(1)
 969.7492:8%(1)
1052.6625:8%(1)",2009,"Sargasso Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(12)","V:100%(12)",NA,"",NA,NA,"V:100%(12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","","",""," 9:100%(1)","  0.00000:100%(1)",2010,"The North Western Passages","B:100%(1)","B:100%(1)",NA,NA,"B:100%(1)","D:100%(1)","B:100%(1)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","7:100%(1)","B:100%(1)","V:100%(1)","16:100%(1)"," 47.09053:100%(1)",2010,"Korea Strait","V:100%(1)","V:100%(1)",NA,NA,"","","","B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","7:100%(2)","B:100%(2)","V:100%(2)","16:100%(2)"," 65.16556:50%(1)
405.21320:50%(1)",2010,"Bering Sea","V:100%(2)","V:100%(2)",NA,NA,"","","","B:50%(1)
D:50%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:50%(1)
D:50%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","7:100%(1)","B:100%(1)","V:100%(1)","16:100%(1)","201.73438:100%(1)",2010,"Chukchi Sea","V:100%(1)","V:100%(1)",NA,NA,"","","","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","7:100%(4)","B:100%(4)","V:100%(4)","16:100%(4)","206.90738:25%(1)
271.21188:25%(1)
307.83399:25%(1)
458.36572:25%(1)",2010,"Arctic Ocean","V:100%(4)","V:100%(4)",NA,NA,"","","","B:75%(3)
D:25%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:50%(2)
D:50%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","7:100%(2)","B:100%(2)","V:100%(2)","16:100%(2)"," 66.73711:50%(1)
158.75259:50%(1)",2010,"Beaufort Sea","V:100%(2)","V:100%(2)",NA,NA,"","","","B:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:50%(1)
D:50%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","9:100%(5)","B:60%(3)
D:20%(1)
V:20%(1)","B:20%(1)
V:80%(4)","16:100%(5)"," 58.80475:20%(1)
180.51315:20%(1)
228.97894:20%(1)
452.77218:20%(1)
457.63480:20%(1)",2010,"North Pacific Ocean","V:100%(5)","V:100%(5)",NA,NA,"","","","B:80%(4)
D:20%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","9:100%(2)","B:50%(1)
D:50%(1)","V:100%(2)","16:100%(2)"," 83.31738:50%(1)
159.36944:50%(1)",2010,"Sea of Japan","V:100%(2)","V:100%(2)",NA,NA,"","","","B:50%(1)
D:50%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
